compound_ID,% sigma2 binding at 1 uM,% sigma1 binding at 1 uM,sigma2 pKi,sigma1 pKi,SMILES,DOCK score
ZINC000176805277,41.58,,,,COC(=O)[C@@H](NCC[C@H](C)N(C)Cc1ccccc1)c1cccc(C#N)c1,-55.0
ZINC001579778746,19.65,,,,Cc1cccc2c1CCN2C(=O)[C@@H]1CC[C@H]2CCCC[C@@H]2N1,-55.0
ZINC001156463732,32.58,,,,C(=C/c1ccccc1)\CNc1ccc2c(n1)CCC2,-55.0
ZINC000115566238,18.2,,,,CC(C)OCCN1CCN(C2CCC(C)CC2)CC1,-55.0
ZINC001096194954,118.19,,,,C[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N2CCn1cccn1)c1ccccc1F,-55.0
ZINC001095312060,69.38,,,,Cc1ccc(CN2[C@@H]3CC[C@H]2[C@@H](NC(=O)c2cn(C)cn2)C3)c(C)c1,-55.0
ZINC000961091031,33.03,,,,O=C(C1CCCC1)N1CCC[C@H]([C@@H]2CCN(C/C=C\Cl)C2)C1,-52.5
ZINC000932649435,69.53,,,,CCOC(=O)[C@@H]1CCN(C[C@@H](O)COc2cccc(C)c2)C1,-52.5
ZINC000932000298,75.87,,,,O=C1[C@@H](N2CC[C@@H](C3OCCO3)C2)CCN1c1cccc(Br)c1,-52.5
ZINC000839577413,28.74,,,,C[C@@H]1CCC[C@H](CCN2CCC([C@H](O)c3ncc[nH]3)CC2)C1,-52.5
ZINC000809405032,99.35,,,,Cc1ccc(N2CCN(C(=O)C(=O)N[C@@H]3CN(C4CC4)C[C@@H]3C)CC2)cc1,-52.5
